epoch,accuracy,auc_pr,auc_roc,learning_rate,loss,precision,recall,val_accuracy,val_auc_pr,val_auc_roc,val_loss,val_precision,val_recall
0,0.799037754535675,0.768798291683197,0.8372263312339783,9.999999747378752e-05,0.5032939314842224,0.6376146674156189,0.710089385509491,0.9257340431213379,0.9320529699325562,0.9537495374679565,0.24966681003570557,0.9370629191398621,0.7976190447807312
1,0.8619540929794312,0.8834432363510132,0.9167444109916687,9.999999747378752e-05,0.35120975971221924,0.7446300983428955,0.7969348430633545,0.9291882514953613,0.9360177516937256,0.9577034115791321,0.20883506536483765,0.9568345546722412,0.7916666865348816
2,0.8811991214752197,0.9038752317428589,0.9304431080818176,9.999999747378752e-05,0.3170662224292755,0.7756563425064087,0.8301404714584351,0.920552670955658,0.9389127492904663,0.9611501693725586,0.2057584524154663,0.9013158082962036,0.8154761791229248
3,0.8882309198379517,0.9091228246688843,0.9318171739578247,9.999999747378752e-05,0.3092312216758728,0.7958179712295532,0.826309084892273,0.9050086140632629,0.9405505657196045,0.9633588194847107,0.2255050539970398,0.834319531917572,0.8392857313156128
4,0.8856402635574341,0.9113608598709106,0.9369995594024658,9.999999747378752e-05,0.30062535405158997,0.7834928035736084,0.8365261554718018,0.9032815098762512,0.9424755573272705,0.9653067588806152,0.21785710752010345,0.8333333134651184,0.8333333134651184
5,0.8900814056396484,0.9190106391906738,0.9435383677482605,4.999999873689376e-05,0.28520137071609497,0.7992610931396484,0.8288633227348328,0.8981001973152161,0.9428197145462036,0.9656398296356201,0.23052406311035156,0.8079096078872681,0.851190447807312
6,0.9000740051269531,0.9250203371047974,0.9475368857383728,4.999999873689376e-05,0.27388322353363037,0.8116646409034729,0.853128969669342,0.9153713583946228,0.9439014196395874,0.9664942622184753,0.19187580049037933,0.8888888955116272,0.8095238208770752
7,0.8971132636070251,0.9221996068954468,0.9434794187545776,4.999999873689376e-05,0.28600257635116577,0.8128872513771057,0.837803304195404,0.9050086140632629,0.9437171816825867,0.9663639664649963,0.22377195954322815,0.8304093480110168,0.8452380895614624
8,0.8963730335235596,0.9245215654373169,0.949238657951355,4.999999873689376e-05,0.2713269591331482,0.8101109862327576,0.8390804529190063,0.9050086140632629,0.9447808861732483,0.9673198461532593,0.21295149624347687,0.8383233547210693,0.8333333134651184
9,0.9022945761680603,0.9264229536056519,0.9506032466888428,2.499999936844688e-05,0.2700169086456299,0.821561336517334,0.8467432856559753,0.9050086140632629,0.9452657699584961,0.9676891565322876,0.22277656197547913,0.8304093480110168,0.8452380895614624
