epoch,accuracy,auc_pr,auc_roc,learning_rate,loss,precision,recall,val_accuracy,val_auc_pr,val_auc_roc,val_loss,val_precision,val_recall
0,0.3837897777557373,0.2787763476371765,0.4976440370082855,4.999999873689376e-05,0.9892684817314148,0.2911931872367859,0.7854406237602234,0.29015544056892395,0.2544007897377014,0.42521145939826965,1.0170742273330688,0.29015544056892395,1.0
1,0.3578830361366272,0.2837978005409241,0.49039119482040405,4.999999873689376e-05,0.8161126971244812,0.28787878155708313,0.8250319361686707,0.29015544056892395,0.38135814666748047,0.6124797463417053,0.9320577383041382,0.29015544056892395,1.0
2,0.3508512079715729,0.2963247001171112,0.5087000727653503,4.999999873689376e-05,0.7415030002593994,0.29082292318344116,0.8620689511299133,0.29015544056892395,0.3963993787765503,0.6432626843452454,0.8622052669525146,0.29015544056892395,1.0
3,0.33678755164146423,0.3004550039768219,0.506527841091156,4.999999873689376e-05,0.715197741985321,0.28952857851982117,0.8863345980644226,0.29015544056892395,0.38323089480400085,0.6235083341598511,0.8190732598304749,0.29015544056892395,1.0
4,0.3304959237575531,0.29412537813186646,0.5065833926200867,4.999999873689376e-05,0.7047305703163147,0.2881915867328644,0.8914431929588318,0.29015544056892395,0.645835816860199,0.7801746129989624,0.7662307024002075,0.29015544056892395,1.0
5,0.3282753527164459,0.28470030426979065,0.49591004848480225,4.999999873689376e-05,0.6976454854011536,0.291093111038208,0.9182630777359009,0.29015544056892395,0.3240988850593567,0.5539551973342896,0.7782019376754761,0.29015544056892395,1.0
6,0.32753515243530273,0.2863737940788269,0.5021116733551025,4.999999873689376e-05,0.6909454464912415,0.2918679416179657,0.9259259104728699,0.29015544056892395,0.22800374031066895,0.3503938913345337,0.7998477220535278,0.29015544056892395,1.0
7,0.31791266798973083,0.29181963205337524,0.4939347505569458,2.499999936844688e-05,0.6892224550247192,0.28748998045921326,0.9157088398933411,0.29015544056892395,0.2968920171260834,0.5249971151351929,0.8000343441963196,0.29015544056892395,1.0
8,0.31680238246917725,0.2734836935997009,0.47779911756515503,2.499999936844688e-05,0.6898670196533203,0.2903352975845337,0.9399744868278503,0.29015544056892395,0.2610500156879425,0.443003386259079,0.798801839351654,0.29015544056892395,1.0
9,0.31791266798973083,0.2973029315471649,0.5102470517158508,1.249999968422344e-05,0.6818684339523315,0.2905138432979584,0.938697338104248,0.29015544056892395,0.21486163139343262,0.313506543636322,0.8021637797355652,0.29015544056892395,1.0
