epoch,accuracy,auc_pr,auc_roc,learning_rate,loss,precision,recall,val_accuracy,val_auc_pr,val_auc_roc,val_loss,val_precision,val_recall
0,0.3686158359050751,0.3034664988517761,0.5156387686729431,4.999999873689376e-05,0.644045889377594,0.29221072793006897,0.8288633227348328,0.29015544056892395,0.19159898161888123,0.18751448392868042,2.9568777084350586,0.29015544056892395,1.0
1,0.3404885232448578,0.31500017642974854,0.5129626989364624,4.999999873689376e-05,0.6329314112663269,0.29419034719467163,0.9118773937225342,0.29015544056892395,0.19103065133094788,0.19356100261211395,3.4769089221954346,0.29015544056892395,1.0
2,0.3397483229637146,0.3438718914985657,0.5153469443321228,4.999999873689376e-05,0.6297423839569092,0.2908483147621155,0.8888888955116272,0.29015544056892395,0.18671274185180664,0.19375653564929962,4.826527118682861,0.29015544056892395,1.0
3,0.34233900904655457,0.35570308566093445,0.5243571996688843,2.499999936844688e-05,0.6230695247650146,0.2930890917778015,0.8991060256958008,0.29015544056892395,0.18862874805927277,0.20155544579029083,5.164583683013916,0.29015544056892395,1.0
4,0.3316062092781067,0.34749487042427063,0.5278787612915039,2.499999936844688e-05,0.6243098378181458,0.2919886112213135,0.9169859290122986,0.29015544056892395,0.18850618600845337,0.2010412961244583,5.371854782104492,0.29015544056892395,1.0
5,0.32605478167533875,0.34142807126045227,0.519933819770813,1.249999968422344e-05,0.6256510019302368,0.288852721452713,0.9067688584327698,0.29015544056892395,0.19058501720428467,0.2094629853963852,5.512751579284668,0.29015544056892395,1.0
6,0.3293856382369995,0.3743894100189209,0.5673456192016602,1.249999968422344e-05,0.6140355467796326,0.29144710302352905,0.9182630777359009,0.29015544056892395,0.1905847191810608,0.2094629853963852,5.5154314041137695,0.29015544056892395,1.0
7,0.32642486691474915,0.3454299867153168,0.5186746120452881,6.24999984211172e-06,0.6248442530632019,0.28931328654289246,0.9093230962753296,0.29015544056892395,0.19058740139007568,0.2094774693250656,5.559615135192871,0.29015544056892395,1.0
8,0.32568466663360596,0.3528442084789276,0.5284028649330139,6.24999984211172e-06,0.621995210647583,0.29027047753334045,0.9182630777359009,0.29015544056892395,0.19058918952941895,0.20949193835258484,5.616679668426514,0.29015544056892395,1.0
9,0.3312361240386963,0.371562123298645,0.5473702549934387,3.12499992105586e-06,0.6153140068054199,0.2933817505836487,0.9284802079200745,0.29015544056892395,0.1905798465013504,0.20942677557468414,5.660388946533203,0.29015544056892395,1.0
10,0.3293856382369995,0.34523266553878784,0.5171145796775818,3.12499992105586e-06,0.6231361627578735,0.29178470373153687,0.9208173751831055,0.29015544056892395,0.19058135151863098,0.20943401753902435,5.709781169891357,0.29015544056892395,1.0
